,8,9,10,11,12
battery_1_CPA_w_full,84.70254957507082,90.37156127188281,96.84025746050322,71.95121951219512,39.1820580474934
battery_1_CPA,100.0,99.43100995732574,100.0,71.95121951219512,39.1820580474934
battery_2_CPA,0,100.0,99.97845291962939,100.0,99.94169096209913
battery_3_CPA,0,99.68676585747846,99.93370898243288,100.0,0
battery_4_CPA,0,99.97535731887629,99.72807613868116,99.88235294117646,0
battery_5_CPA,0,92.23080417991822,0,0,0
battery_1_QI,7.907706093189964,64.79166666666667,38.28405017921147,17.083333333333332,8.490143369175627
battery_2_QI,0,5.648148148148148,56.00358422939068,28.900462962962965,21.281362007168457
battery_3_QI,0,54.43287037037037,73.8239247311828,10.25462962962963,0
battery_4_QI,0,56.851851851851855,60.327060931899645,21.828703703703702,0
battery_5_QI,0,60.06944444444444,0,0,0
